Serie,Temporada,Episodio,Titulo,Tipo,Data,Dia,Mes,Ano,Dia Semana,Genero,Data_dia,Feriado
Cobra Kai,Temporada 1,Contrapeso,,Série,2021-07-26,26,Julho,2021,Segunda-feira,Ação,2021-07-26,False
Cobra Kai,Temporada 1,Cobra Kai para sempre,,Série,2021-07-24,24,Julho,2021,Sábado,Ação,2021-07-24,False
Cobra Kai,Temporada 1,Esqueleto,,Série,2021-07-24,24,Julho,2021,Sábado,Ação,2021-07-24,False
Cobra Kai,Temporada 1,Acerte primeiro,,Série,2021-07-24,24,Julho,2021,Sábado,Ação,2021-07-24,False
Cobra Kai,Temporada 1,Degenerado,,Série,2021-07-24,24,Julho,2021,Sábado,Ação,2021-07-24,False
Paternidade,,,,Filme,2021-07-24,24,Julho,2021,Sábado,Comédia,2021-07-24,False
The Playbook,Estratégias para Vencer,Jill Ellis – Regras de vida de um treinador,,Série,2021-07-24,24,Julho,2021,Sábado,Documentário,2021-07-24,False
The Playbook,Estratégias para Vencer,Doc Rivers – Regras de vida de um treinador,,Série,2021-07-24,24,Julho,2021,Sábado,Documentário,2021-07-24,False
Roubos Inacreditáveis,"Sexo, dinheiro e assassinato – Parte 1",,,Série,2021-07-23,23,Julho,2021,Sexta-feira,Documentário,2021-07-23,False
Como Defender um Assassino,Temporada 1,É tudo culpa dela,,Série,2021-07-23,23,Julho,2021,Sexta-feira,Suspense,2021-07-23,False
Como Defender um Assassino,Temporada 1,Piloto,,Série,2021-07-23,23,Julho,2021,Sexta-feira,Suspense,2021-07-23,False
Corpo Humano,Nosso Mundo Interior,Pulsação,,Série,2021-07-11,11,Julho,2021,Domingo,Documentário,2021-07-11,False
Corpo Humano,Nosso Mundo Interior,Reações,,Série,2021-07-10,10,Julho,2021,Sábado,Documentário,2021-07-10,False
O Método Kominsky,Temporada 1,Capítulo 1,Um ator evita,Série,2021-07-09,9,Julho,2021,Sexta-feira,Comédia,2021-07-09,False
Milagre Azul,,,,Filme,2021-07-09,9,Julho,2021,Sexta-feira,Drama,2021-07-09,False
Colcha de Retalhos,,,,Filme,2021-07-04,4,Julho,2021,Domingo,Drama,2021-07-04,False
Irmã Dulce,,,,Filme,2021-07-04,4,Julho,2021,Domingo,Biografia,2021-07-04,False
A Escavação,,,,Filme,2021-06-27,27,Junho,2021,Domingo,Drama,2021-06-27,False
O Grande Guerreiro Otomano,Temporada 1,Episódio 1,,Série,2021-06-27,27,Junho,2021,Domingo,Drama,2021-06-27,False
Tim Maia,,,,Filme,2021-06-03,3,Junho,2021,Quinta-feira,Biografia,2021-06-03,False
Professor Polvo,,,,Filme,2021-06-03,3,Junho,2021,Quinta-feira,Documentário,2021-06-03,False
Como o Cérebro Cria,,,,Filme,2021-06-03,3,Junho,2021,Quinta-feira,Documentário,2021-06-03,False
Shtisel,Temporada 1,Episódio 1,,Série,2021-06-03,3,Junho,2021,Quinta-feira,Drama,2021-06-03,False
The Crown,Temporada 4,Guerra,,Série,2021-05-08,8,Maio,2021,Sábado,Drama,2021-05-08,False
The Crown,Temporada 4,Avalanche,,Série,2021-05-08,8,Maio,2021,Sábado,Drama,2021-05-08,False
Os Salafrários,,,,Filme,2021-05-08,8,Maio,2021,Sábado,Comédia,2021-05-08,False
